url,Titre,Ville,Pays,ID,Type,Date de publication,Texte de l'offre,entreprise
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-CORPORATE-COMMUNICATION-JANVIER-2026-1700-mois/215577,STAGE 6 MOIS - CORPORATE COMMUNICATION - JANVIER 2026 - 1700€/mois,Levallois-Perret,France,215577,Stage,2025-08-01,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Communication
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            01-aoû-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-janvier-2026-Marketing-D-veloppement-Produit-ARMANI-Master-1-2-1700-mois/230357,STAGE 6 MOIS - À partir de janvier 2026 – Marketing Développement Produit ARMANI – Master 1/2 - 1700€/mois,Levallois-Perret,France,230357,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Marketing
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Retail-Design-Master-1-2-1700-mois/229532,STAGE 6 MOIS - À partir de juillet 2026 – Retail Design – Master 1/2 - 1700€/mois,Levallois-Perret,France,229532,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Creative Design
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-UX-Design-Colours-Materials-Finishes-Designer-partir-de-f-vrier-mars-2026/222213,"Stage de 6 mois – UX Design: Colours, Materials & Finishes Designer – À partir de février/mars 2026",Clichy,France,222213,Stage,2026-01-08,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Packaging
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            08-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/6-month-Internship-Supply-Chain-January-March-2026/214881,6-month Internship – Supply Chain– January/March 2026,Clichy,France,214881,Stage,2025-08-04,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Supply Chain
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            04-aoû-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Droit-conomique-L-Or-al-France-Janvier-2027/229191,Stage de 6 mois - Droit économique L'Oréal France - Janvier 2027,Levallois-Perret,France,229191,Stage,2025-12-23,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            23-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-IP-IT-Janvier-2027/229619,Stage de 6 mois - IP & IT - Janvier 2027,Levallois-Perret,France,229619,Stage,2026-01-06,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            06-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-IP-Media-Janvier-2027/229188,Stage de 6 mois - IP & Media - Janvier 2027,Clichy,France,229188,Stage,2025-12-17,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            17-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Direction-Legal-Privacy-Europe-Zone-Janvier-2027/230970,Stage de 6 mois - Direction Legal & Privacy Europe Zone - Janvier 2027,Clichy,France,230970,Stage,2025-12-17,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            17-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Direction-Fiscale-Janvier-2027/231000,Stage de 6 mois - Direction Fiscale - Janvier 2027,Clichy,France,231000,Stage,2026-01-16,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Finance et Gestion
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            16-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Contentieux-Risques-et-Assurances-Janvier-2027/230172,"Stage de 6 mois - Contentieux, Risques et Assurances  - Janvier 2027",Clichy,France,230172,Stage,2026-01-12,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            12-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Lutte-Anti-contrefa-on-Janvier-2027/230206,Stage de 6 mois - Lutte Anti-contrefaçon - Janvier 2027,Clichy,France,230206,Stage,2026-01-12,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            12-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Droits-des-Soci-t-s-Boursier-Gouvernance-Janvier-2027/228919,"Stage de 6 mois - Droits des Sociétés, Boursier & Gouvernance - Janvier 2027",Clichy,France,228919,Stage,2025-12-17,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            17-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Droit-Immobilier-Environnement-Janvier-2027/229969,Stage de 6 mois - Droit Immobilier & Environnement - Janvier 2027,Clichy,France,229969,Stage,2025-12-17,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            17-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Stage-de-6-mois-Legal-M-A-Janvier-2027/228920,Stage de 6 mois - Legal M&A - Janvier 2027,Clichy,France,228920,Stage,2025-12-23,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Clichy
                                                                                    







                                                                                            Juridique
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            23-déc-2025",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Sales-Business-Analyst-Master-1700-mois/229411,STAGE 6 MOIS - À partir de juillet 2026 – Sales Business Analyst – Master ½ - 1700€/mois,Paris,France,229411,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Paris
                                                                                    







                                                                                            Sales
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Category-Management-Master-1700-mois/229413,STAGE 6 MOIS - À partir de juillet 2026 – Category Management – Master ½ - 1700€/mois,Paris,France,229413,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Paris
                                                                                    







                                                                                            Sales
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Key-Account-Management-Master-1700-mois/229412,STAGE 6 MOIS - À partir de juillet 2026 – Key Account Management – Master ½ - 1700€/mois,Paris,France,229412,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Paris
                                                                                    







                                                                                            Sales
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/Ing-nieur-Assurance-qualit-Sites-Industriels-Master-1-2-1700-mensuel/228817,Ingénieur Assurance qualité - Sites Industriels - Master 1/2 - 1700€ mensuel,Paris,France,228817,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Paris
                                                                                    







                                                                                            Quality
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Brand-Communication-Master-1-2-1700-mois/229536,STAGE 6 MOIS - À partir de juillet 2026 – Brand Communication – Master 1/2 - 1700€/mois,Levallois-Perret,France,229536,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Levallois-Perret
                                                                                    







                                                                                            Communication
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-6-MOIS-partir-de-juillet-2026-Communication-Corporate-Master-1-ou-2-1700-mois/229391,STAGE 6 MOIS - À partir de juillet 2026 – Communication Corporate – Master 1 ou 2 - 1700€/mois,Paris,France,229391,Stage,2026-01-05,"Stage
                                                                                    







                                                                                            Île-de-France
                                                                                    







                                                                                            Paris
                                                                                    







                                                                                            Communication
                                                                                    







                                                                                            Temps plein
                                                                                    







                                                                                            05-jan-2026",L'Oréal
